302,Techland,2011,Dead Island,Action,PC,Deep Silver
303,Bohemia Interactive,2011,Arma 2: Operation Arrowhead,Shooter,PC,Unknown
304,Studio Wildcard,2015,ARK: Survival Evolved,Action-Adventure,PC,Studio Wildcard
305,Cyan Worlds,1997,Riven: The Sequel to Myst,Adventure,PC,Red Orb
306,Blizzard Entertainment,2010,StarCraft II: Wings of Liberty,Strategy,PC,Blizzard Entertainment
307,Blizzard Entertainment,2002,Warcraft III: Reign of Chaos,Strategy,PC,Blizzard Entertainment
308,Activision,1982,Pitfall!,Platform,2600,Activision
309,Level 5,2008,Professor Layton and the Curious Village,Adventure,DS,Nintendo
310,EA Tiburon,2006,Madden NFL 07,Sports,PS2,EA Sports
311,Treyarch,2002,Spider-Man: The Movie,Action,PS2,Activision
312,Nintendo EAD,2011,Nintendogs + cats,Simulation,3DS,Nintendo
313,Bethesda Softworks,2009,The Elder Scrolls IV: Oblivion,Role-Playing,X360,Take-Two Interactive
314,Nintendo EAD,2003,The Legend of Zelda: The Wind Waker,Adventure,GC,Nintendo
315,Neversoft Entertainment,2001,Tony Hawk's Pro Skater 3,Sports,PS2,Activision
316,Konami Computer Entertainment Tokyo,2007,Winning Eleven: Pro Evolution Soccer 2007,Sports,PS2,Konami
317,Nintendo EAD,1988,Zelda II: The Adventure of Link,Adventure,NES,Nintendo
318,Ubisoft Montpellier,2010,Michael Jackson: The Experience,Misc,Wii,Ubisoft
319,Massive Entertainment,2016,Tom Clancy's The Division,Shooter,PS4,Ubisoft
320,EA Canada,2005,Need for Speed: Most Wanted,Racing,PS2,Electronic Arts
321,Insomniac Games,2006,Resistance: Fall of Man,Shooter,PS3,Sony Computer Entertainment
322,Ubisoft Montreal,2015,Tom Clancy's Rainbow Six: Siege,Shooter,PS4,Ubisoft
323,High Moon Studios,2014,Call of Duty: Advanced Warfare,Shooter,X360,Activision
324,Ubisoft Montreal,2014,Watch Dogs,Action-Adventure,PS4,Ubisoft
325,Nintendo EAD,2008,Animal Crossing: City Folk,Simulation,Wii,Nintendo
326,Unknown,2014,Starbound,Misc,PC,"Infocom, Inc."
327,Atari,1981,Asteroids,Shooter,2600,Atari
328,Heart Beat,2001,Dragon Quest VII,Role-Playing,PS,Enix
329,Capcom,2016,Monster Hunter Generations,Action,3DS,Capcom
330,Rocksteady Studios,2009,Batman: Arkham Asylum,Action,PS3,Eidos Interactive
331,High Moon Studios,2014,Call of Duty: Advanced Warfare,Shooter,PS3,Activision
332,SCEA Santa Monica Studio,2007,God of War II,Action,PS2,Sony Computer Entertainment
333,Mass Media,2001,Namco Museum,Misc,GBA,Namco
334,Ready at Dawn,2006,Daxter,Platform,PSP,Sony Computer Entertainment
335,Intelligent Systems,2007,Super Paper Mario,Platform,Wii,Nintendo
336,Ubisoft Montreal,2011,Assassin's Creed: Revelations,Action,PS3,Ubisoft
337,KCEJ / Kojima Productions,2004,Metal Gear Solid 3: Snake Eater,Action,PS2,Konami
338,Ubisoft Montreal,2011,Assassin's Creed: Revelations,Action,X360,Ubisoft
339,EA Canada,2005,FIFA Soccer 06,Sports,PS2,EA Sports
340,Capcom,2015,Monster Hunter 4 Ultimate,Role-Playing,3DS,Capcom
341,Capcom / Dimps Corporation,2009,Street Fighter IV,Fighting,PS3,Capcom
342,The Fun Pimps,2013,7 Days to Die,Action,PC,The Fun Pimps
343,EA Canada,2011,FIFA Soccer 12,Sports,X360,EA Sports
344,Infinity Ward,2013,Call of Duty: Ghosts,Shooter,PS4,Activision
345,Konami,1989,Teenage Mutant Ninja Turtles,Platform,NES,Ultra Games
